ranking_date,ranking,player_id,player,ranking_points,normalized_name,matchstat_player_id
20260824,1,S0AG,Jannik Sinner,12800,jannik sinner,47275
20260824,2,Z355,Alexander Zverev,7790,alexander zverev,24008
20260824,3,A0E2,Carlos Alcaraz,7160,carlos alcaraz,68074
20260824,4,AG37,Felix Auger Aliassime,4640,felix auger aliassime,40434
20260824,5,D643,Novak Djokovic,3770,novak djokovic,5992
20260824,6,C0E9,Flavio Cobolli,3720,flavio cobolli,67546
20260824,7,DH58,Alex De Minaur,3650,alex de minaur,39309
20260824,8,MM58,Daniil Medvedev,3580,daniil medvedev,22807
20260824,9,S0S1,Ben Shelton,3480,ben shelton,87562
20260824,10,FB98,Taylor Fritz,3475,taylor fritz,29932
20260824,11,F0F1,Arthur Fils,3140,arthur fils,83135
20260824,12,TD51,Frances Tiafoe,2680,frances tiafoe,29939
20260824,13,J0DZ,Rafael Jodar,2671,rafael jodar,99691
20260824,14,M0EJ,Lorenzo Musetti,2605,lorenzo musetti,63572
20260824,15,T0HA,Learner Tien,2565,learner tien,93452
20260824,16,BK92,Alexander Bublik,2525,alexander bublik,24245
20260824,17,N0AE,Brandon Nakashima,2485,brandon nakashima,56846
20260824,18,M0NI,Jakub Mensik,2445,jakub mensik,86691
20260824,19,L0BV,Jiri Lehecka,2420,jiri lehecka,61838
20260824,20,RH16,Casper Ruud,2385,casper ruud,33648
20260824,21,PL56,Tommy Paul,2225,tommy paul,29935
20260824,22,D0FJ,Luciano Darderi,2175,luciano darderi,76127
20260824,23,VA25,Valentin Vacherot,2168,valentin vacherot,36594
20260824,24,RE44,Andrey Rublev,2080,andrey rublev,29372
20260824,25,C0AU,Francisco Cerundolo,1980,francisco cerundolo,52279
20260824,26,F0FV,Joao Fonseca,1800,joao fonseca,91521
20260824,27,DH50,Alejandro Davidovich Fokina,1730,alejandro davidovich fokina,36519
20260824,28,TE30,Alejandro Tabilo,1688,alejandro tabilo,30087
20260824,29,RC91,Arthur Rinderknech,1683,arthur rinderknech,28170
20260824,30,HH26,Ugo Humbert,1545,ugo humbert,38911
20260824,31,EA24,Tomas Martin Etcheverry,1440,tomas martin etcheverry,37532
20260824,32,B0PG,Alexander Blockx,1396,alexander blockx,88766
20260824,33,N771,Cameron Norrie,1365,cameron norrie,27851
20260824,34,A0FC,Matteo Arnaldi,1349,matteo arnaldi,73956
20260824,35,BU13,Zizou Bergs,1345,zizou bergs,37741
20260824,36,B0ID,Ignacio Buse,1310,ignacio buse,79113
20260824,37,F0DM,Arthur Fery,1253,arthur fery,79065
20260824,38,C0JP,Raphael Collignon,1207,raphael collignon,84235
20260824,39,ms:83223,Daniel Merida Aguilar,1157,daniel merida aguilar,83223
20260824,40,V0DZ,Luca Van Assche,1140,luca van assche,82371
20260824,41,BT72,Nuno Borges,1135,nuno borges,31446
20260824,42,T0A1,Thiago Agustin Tirante,1125,thiago agustin tirante,52394
20260824,43,BK40,Matteo Berrettini,1115,matteo berrettini,29812
20260824,44,SL28,Jan-Lennard Struff,1089,jan lennard struff,14177
20260824,45,M0QI,Alex Michelsen,1070,alex michelsen,92985
20260824,46,HB71,Hubert Hurkacz,1070,hubert hurkacz,26473
20260824,47,SU55,Denis Shapovalov,1065,denis shapovalov,33502
20260824,48,N0BS,Mariano Navone,1065,mariano navone,66828
20260824,49,KE29,Karen Khachanov,1050,karen khachanov,25543
20260824,50,B0BI,Sebastian Baez,1044,sebastian baez,52721
20260824,51,C0C8,Juan Manuel Cerundolo,1040,juan manuel cerundolo,52934
20260824,52,HB64,Quentin Halys,1030,quentin halys,25171
20260824,53,TE51,Stefanos Tsitsipas,1000,stefanos tsitsipas,30470
20260824,54,H997,Yannick Hanfmann,991,yannick hanfmann,14856
20260824,55,ms:31358,Jaume Antoni Munar Clar,990,jaume antoni munar clar,31358
20260824,56,GJ37,Tallon Griekspoor,975,tallon griekspoor,33860
20260824,57,AE14,Daniel Altmaier,964,daniel altmaier,29732
20260824,58,M0FH,Tomas Machac,960,tomas machac,58327
20260824,59,B0FV,Roman Andres Burruchaga,960,roman andres burruchaga,70705
