ranking_date,ranking,player_id,player,ranking_points,normalized_name,matchstat_player_id
20260803,1,S0AG,Jannik Sinner,13450,jannik sinner,47275
20260803,2,A0E2,Carlos Alcaraz,8160,carlos alcaraz,68074
20260803,3,Z355,Alexander Zverev,8120,alexander zverev,24008
20260803,4,AG37,Felix Auger Aliassime,4740,felix auger aliassime,40434
20260803,5,D643,Novak Djokovic,3760,novak djokovic,5992
20260803,6,MM58,Daniil Medvedev,3620,daniil medvedev,22807
20260803,7,DH58,Alex De Minaur,3560,alex de minaur,39309
20260803,8,C0E9,Flavio Cobolli,3330,flavio cobolli,67546
20260803,9,FB98,Taylor Fritz,3230,taylor fritz,29932
20260803,10,S0S1,Ben Shelton,2680,ben shelton,87562
20260803,11,BK92,Alexander Bublik,2535,alexander bublik,24245
20260803,12,L0BV,Jiri Lehecka,2380,jiri lehecka,61838
20260803,13,M0EJ,Lorenzo Musetti,2375,lorenzo musetti,63572
20260803,14,RH16,Casper Ruud,2345,casper ruud,33648
20260803,15,J0DZ,Rafael Jodar,2243,rafael jodar,99691
20260803,16,RE44,Andrey Rublev,2230,andrey rublev,29372
20260803,17,M0NI,Jakub Mensik,2205,jakub mensik,86691
20260803,18,VA25,Valentin Vacherot,2176,valentin vacherot,36594
20260803,19,T0HA,Learner Tien,2155,learner tien,93452
20260803,20,TD51,Frances Tiafoe,2105,frances tiafoe,29939
20260803,21,PL56,Tommy Paul,2075,tommy paul,29935
20260803,22,D0FJ,Luciano Darderi,2025,luciano darderi,76127
20260803,23,C0AU,Francisco Cerundolo,2010,francisco cerundolo,52279
20260803,24,F0F1,Arthur Fils,1940,arthur fils,83135
20260803,25,DH50,Alejandro Davidovich Fokina,1830,alejandro davidovich fokina,36519
20260803,26,TE30,Alejandro Tabilo,1728,alejandro tabilo,30087
20260803,27,F0FV,Joao Fonseca,1700,joao fonseca,91521
20260803,28,HH26,Ugo Humbert,1625,ugo humbert,38911
20260803,29,RC91,Arthur Rinderknech,1623,arthur rinderknech,28170
20260803,30,EA24,Tomas Martin Etcheverry,1510,tomas martin etcheverry,37532
20260803,31,N0AE,Brandon Nakashima,1510,brandon nakashima,56846
20260803,32,B0PG,Alexander Blockx,1353,alexander blockx,88766
20260803,33,B0ID,Ignacio Buse,1350,ignacio buse,79113
20260803,34,BU13,Zizou Bergs,1340,zizou bergs,37741
20260803,35,A0FC,Matteo Arnaldi,1299,matteo arnaldi,73956
20260803,36,F0DM,Arthur Fery,1285,arthur fery,79065
20260803,37,N771,Cameron Norrie,1255,cameron norrie,27851
20260803,38,C0JP,Raphael Collignon,1234,raphael collignon,84235
20260803,39,KE29,Karen Khachanov,1130,karen khachanov,25543
20260803,40,BK40,Matteo Berrettini,1088,matteo berrettini,29812
20260803,41,SL28,Jan-Lennard Struff,1066,jan lennard struff,14177
20260803,42,M0QI,Alex Michelsen,1065,alex michelsen,92985
20260803,43,SU55,Denis Shapovalov,1045,denis shapovalov,33502
20260803,44,N0BS,Mariano Navone,1030,mariano navone,66828
20260803,45,ms:31358,Jaume Antoni Munar Clar,1020,jaume antoni munar clar,31358
20260803,46,A0GC,Terence Atmane,1007,terence atmane,67535
20260803,47,ME82,Adrian Mannarino,1005,adrian mannarino,7806
20260803,48,B0BI,Sebastian Baez,1000,sebastian baez,52721
20260803,49,V0DZ,Luca Van Assche,998,luca van assche,82371
20260803,50,K0AH,Sebastian Korda,990,sebastian korda,42451
20260803,51,Q02L,Ethan Quinn,989,ethan quinn,82269
20260803,52,C0C8,Juan Manuel Cerundolo,989,juan manuel cerundolo,52934
20260803,53,TE51,Stefanos Tsitsipas,980,stefanos tsitsipas,30470
20260803,54,HB64,Quentin Halys,980,quentin halys,25171
20260803,55,BT72,Nuno Borges,970,nuno borges,31446
20260803,56,B0FV,Roman Andres Burruchaga,962,roman andres burruchaga,70705
20260803,57,H997,Yannick Hanfmann,961,yannick hanfmann,14856
20260803,58,M0FH,Tomas Machac,960,tomas machac,58327
20260803,59,MW02,Corentin Moutet,945,corentin moutet,36263
20260803,60,AE14,Daniel Altmaier,939,daniel altmaier,29732
20260803,61,M0CI,Fabian Marozsan,930,fabian marozsan,52140
20260803,62,KI95,Miomir Kecmanovic,925,miomir kecmanovic,34337
20260803,63,ms:83223,Daniel Merida Aguilar,925,daniel merida aguilar,83223
20260803,64,L0IL,Martin Landaluce,920,martin landaluce,94493
20260803,65,T0A1,Thiago Agustin Tirante,919,thiago agustin tirante,52394
20260803,66,V0DP,Adolfo Daniel Vallejo,918,adolfo daniel vallejo,80391
20260803,67,MQ75,Kamil Majchrzak,907,kamil majchrzak,28898
20260803,68,CD85,Pablo Carreno-Busta,891,pablo carreno busta,14432
20260803,69,GJ37,Tallon Griekspoor,885,tallon griekspoor,33860
20260803,70,V812,Botic Van De Zandschulp,882,botic van de zandschulp,24249
20260803,71,KI82,Vit Kopriva,868,vit kopriva,42971
20260803,72,HB71,Hubert Hurkacz,865,hubert hurkacz,26473
20260803,73,M0JF,Hamad Medjedovic,844,hamad medjedovic,79060
20260803,74,B0CD,Jenson Brooksby,810,jenson brooksby,40609
20260803,75,MV14,Alex Molcan,791,alex molcan,34539
20260803,76,U182,Camilo Ugo Carabelli,790,camilo ugo carabelli,42229
20260803,77,CH12,Jan Choinski,770,jan choinski,26421
20260803,78,R0EB,Valentin Royer,763,valentin royer,61857
20260803,79,F0F2,Jaime Faria,760,jaime faria,83795
20260803,80,B0GG,Mattia Bellucci,754,mattia bellucci,72578
20260803,81,GC88,Marcos Giron,745,marcos giron,18736
20260803,82,G0IX,Arthur Gea,744,arthur gea,87277
20260803,83,F724,Marton Fucsovics,740,marton fucsovics,13674
20260803,84,D0CG,Facundo Diaz Acosta,732,facundo diaz acosta,64741
20260803,85,C977,Marin Cilic,721,marin cilic,6101
20260803,86,D994,James Duckworth,721,james duckworth,11517
20260803,87,S0K7,Zachary Svajda,719,zachary svajda,73620
20260803,88,SU87,Lorenzo Sonego,718,lorenzo sonego,31392
20260803,89,S0H2,Alexander Shevchenko,699,alexander shevchenko,64891
20260803,90,TA29,Marco Trungelliti,693,marco trungelliti,12653
20260803,91,M0GZ,Giovanni Mpetshi Perricard,690,giovanni mpetshi perricard,71174
20260803,92,ms:71166,Chak Lam Coleman Wong,680,chak lam coleman wong,71166
20260803,93,H0BH,Rinky Hijikata,677,rinky hijikata,58149
20260803,94,SY67,Sho Shimabukuro,677,sho shimabukuro,39863
20260803,95,K0AZ,Aleksandar Kovacevic,676,aleksandar kovacevic,39152
20260803,96,G09O,Hugo Gaston,672,hugo gaston,46747
20260803,97,W09E,Adam Walton,654,adam walton,47752
20260803,98,P0HW,Dino Prizmic,652,dino prizmic,85899
20260803,99,R0DG,Holger Rune,650,holger rune,69471
20260803,100,D0DT,Martin Damm,650,martin damm,72574
20260803,101,V832,Aleksandar Vukic,649,aleksandar vukic,28267
